"","Herbarium","Accession","Genus","Phenology","DOY","elev.true","Latitude","Longitude","SpringTemp.Modern","SpringTemp.Historic","SpringPrec.Modern","SpringPrec.Historic","Anomaly","PPT.Anomaly","Year.Collected","Month.Collected","spec.epithet"
"204","UBC","V63651","Clintonia","FLOWER",167,610,51.983333,-121.416667,10.6333333333333,9.83333333333333,81,115,0.800000000000001,-34,1949,6,"uniflora"
"205","WTU","25415JWT","Clintonia","FLOWER",167,1220,47.61028,-121.42556,8.9,6.8,315,518,2.1,-203,1934,6,"uniflora"
"206","WTU","351410","Clintonia","FLOWER",195,1090,47.337,-121.4332,6.06666666666667,6.66666666666667,522,434,-0.600000000000001,88,2001,7,"uniflora"
"207","UBC","V52868","Clintonia","FLOWER",167,1080,52.009146,-121.45143,8.06666666666667,7.7,92,129,0.366666666666666,-37,1949,6,"uniflora"
"208","WTU","24848JWT","Clintonia","FLOWER",199,915,48.06829,-121.47068,8.9,8.56666666666667,412,581,0.333333333333334,-169,1932,7,"uniflora"
"209","WTU","351419","Clintonia","FLOWER",195,762,47.3224,-121.4756,6.33333333333333,6.96666666666667,526,434,-0.633333333333333,92,2001,7,"uniflora"
"210","WTU","119476","Clintonia","FLOWER",231,2000,46.20255,-121.4908,2.46666666666667,2.96666666666667,231,330,-0.5,-99,1909,8,"uniflora"
"211","WTU","21748JWT","Clintonia","FLOWER",167,579,48.068056,-121.508333,11.6,10.2666666666667,486,590,1.33333333333333,-104,1940,6,"uniflora"
"212","ID","144770","Clintonia","FLOWER",166,1018,46.084983,-121.531383,7.76666666666667,8.26666666666667,207,169,-0.5,38,2001,6,"uniflora"
"213","WTU","350923","Clintonia","FLOWER",195,1113,47.29615,-121.534167,6.86666666666667,7.5,513,418,-0.633333333333333,95,2001,7,"uniflora"
"214","WWB","3923","Clintonia","FLOWER",212,915,48.95194,-121.636071,7,7.5,423,487,-0.5,-64,1962,7,"uniflora"
"215","ID","135443","Clintonia","FLOWER",174,488,47.362222,-121.643889,8.96666666666667,9.6,542,440,-0.633333333333333,102,2001,6,"uniflora"
"216","WTU","24846JWT","Clintonia","FLOWER",206,1220,48.863,-121.68105,5.93333333333333,6.06666666666667,335,477,-0.133333333333334,-142,1930,7,"uniflora"
"217","UBC","V215713","Clintonia","FLOWER",204,1440,49.174167,-121.683333,6.23333333333333,5.3,613,414,0.933333333333334,199,1997,7,"uniflora"
"218","ID","135150","Clintonia","FLOWER",174,1037,47.4097,-121.7726,6.8,7.46666666666667,711,578,-0.666666666666666,133,2001,6,"uniflora"
"219","WTU","306103","Clintonia","FLOWER",196,1067,47.52889,-121.82417,8.53333333333333,6.5,477,693,2.03333333333333,-216,1934,7,"uniflora"
"220","WTU","412027","Clintonia","FLOWER",193,1651,43.97501,-121.85798,6.63333333333333,5.6,319,334,1.03333333333333,-15,2013,7,"uniflora"
"221","WTU","351103","Clintonia","FLOWER",174,427,47.424722,-121.864167,9.86666666666667,10.5,507,409,-0.633333333333333,98,2001,6,"uniflora"
